class,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
b,0.425,0.264,0.408,0.762,538.2959968,314.1907052,576.0292689,246.2242245,94.61400623,130.6048794,511.9727144,133.5215562,41.74724365,445.8749873
b,0.45,0.272,0.526,0.798,610.1237746,275.9162036,158.7620453,86.25297739,75.70164138,75.69573115,522.4835915,108.7327763,125.0603968,358.4816197
b,0.475,0.246,0.63,0.81,614.8425983,294.2125777,24.01749024,49.70929536,85.38634796,83.91197969,97.77328462,219.6757604,272.5586514,250.7587173
b,0.5,0.21,0.68,0.814,555.1133919,326.4577943,500.9653093,258.0719667,464.9806628,342.3244334,311.2489517,126.2064713,262.4839232,275.443576
b,0.525,0.226,0.688,0.848,514.962664,350.9966093,318.0811305,125.5988084,203.7955944,165.0126542,435.4804702,89.77102637,668.3343978,24.79646378
b,0.55,0.242,0.68,0.85,560.0339067,346.0574414,396.293807,189.5140724,37.41860713,61.79133364,421.86208,149.170753,209.9017608,309.6044996
b,0.575,0.252,0.676,0.818,516.7795518,354.6774749,372.0750662,167.7466604,179.6602552,154.8243437,579.2446924,73.04487333,238.1381134,266.1400983
b,0.6,0.254,0.622,0.838,536.0165659,282.8179665,168.4960197,121.6347781,169.8347498,126.9948559,291.333091,121.4484635,293.3963318,271.1049254
b,0.625,0.252,0.524,0.832,626.7718826,311.1815152,565.8559202,206.7540275,61.36556787,42.16006584,151.7227284,196.0015197,503.5289749,106.293563
b,0.65,0.212,0.43,0.858,620.052852,269.8836556,708.7524587,228.0777089,534.0635478,404.4142881,178.9782625,188.8792905,86.48568352,438.3875011
b,0.675,0.166,0.368,0.84,543.3485719,274.3384042,257.2953021,145.4104869,403.9128424,361.2707306,288.8669332,188.5618212,517.9185516,84.73802758
b,0.7,0.206,0.32,0.85,580.2853932,387.0916782,110.6991017,118.0613982,247.0007136,226.5870246,322.3494297,177.1530282,131.5410677,371.1395998
b,0.725,0.216,0.28,0.832,512.7717951,303.6941873,24.51171744,27.03440568,314.9798286,191.8614071,410.3079835,156.6393818,60.44208633,392.5230877
b,0.75,0.176,0.266,0.806,542.8544551,271.5349937,528.4110261,208.4507437,371.6725917,325.7996,498.8521793,148.6304311,647.9097875,72.64873171
b,0.775,0.182,0.272,0.814,611.0577965,274.3503748,154.44937,133.3351141,420.9474416,320.0682103,378.6825107,116.1180242,565.2253522,158.6532548
b,0.8,0.208,0.288,0.838,572.8045303,306.1203026,298.8509044,93.66570901,156.9450765,70.85963524,660.692423,102.4783399,337.0398718,289.798688
b,0.825,0.26,0.308,0.828,601.3570407,322.5403193,221.933575,106.4029214,367.5635727,317.6557385,190.5212464,145.3017252,671.101318,-7.470753655
b,0.85,0.274,0.352,0.852,614.7351535,449.971713,520.6757161,214.4073787,184.3592378,101.7604557,306.4580771,180.6936791,552.7155235,190.4793083
b,0.875,0.256,0.412,0.824,543.6384156,411.977693,32.02036492,88.34748562,71.45255133,90.34105862,153.6038393,173.538303,414.2800506,179.1146128
b,0.9,0.238,0.52,0.826,519.9124621,333.822942,76.39168606,85.22650957,273.9997677,216.125265,707.4698713,102.8742643,419.6574326,196.3319328
b,0.925,0.242,0.63,0.83,601.8014955,375.5947188,59.98475092,57.15956181,134.4281938,144.1604734,235.5937393,102.0273781,84.568854,340.4304274
b,0.95,0.208,0.736,0.83,545.8882149,379.1555011,556.2081607,221.1006354,531.8347526,403.0903117,347.7861699,134.9024143,-23.44508103,506.7902345
b,0.975,0.208,0.736,0.808,509.4266161,318.2487561,27.75918515,107.4622738,306.8863938,219.7282614,81.13072934,187.0413064,395.0699846,232.3381262
c,0,0.86,0.936,0.878,360.337008,149.6359863,187.863724,137.2202682,664.7520064,423.3785484,194.0340065,148.6458293,23.1956853,501.44559
c,0.025,0.866,0.906,0.82,401.3396223,92.30900819,558.7683703,200.6829579,389.6288182,291.3473061,445.2659989,116.8638112,646.9590363,48.14101246
c,0.05,0.862,0.874,0.748,349.9226436,153.5939615,694.3518127,218.0968485,560.5781815,347.4309486,679.2514828,52.22052198,657.2417475,82.68141976
c,0.075,0.828,0.846,0.662,354.4776731,189.1878812,76.16132097,102.8932159,95.27461297,102.6251221,392.9430519,145.6734676,374.1997583,216.5053646
c,0.1,0.84,0.818,0.598,396.256154,124.8249742,143.9298777,106.1578489,269.6719943,168.2069838,253.8630002,130.3955227,532.0506784,209.2082885
c,0.125,0.848,0.788,0.554,327.3778361,98.10671716,109.5994029,125.1279355,148.6478942,161.6881234,362.9741484,132.2775631,339.6606119,304.1258825
c,0.15,0.86,0.764,0.518,372.943528,102.4718145,194.6639841,137.8081291,71.37977378,72.19594503,552.6434007,134.6948879,80.83975034,397.8888457
c,0.175,0.87,0.736,0.496,359.6777151,115.734952,81.8822874,149.8074049,180.8619639,180.7133502,548.771595,84.49724956,-2.434577868,500.4874899
c,0.2,0.87,0.718,0.482,398.0059193,101.4173928,507.8720184,218.440132,733.5023125,465.9786773,72.37228357,210.0260882,251.1979364,304.2296523
c,0.225,0.854,0.72,0.47,339.863781,68.04403439,503.5748913,221.7341814,320.3015248,209.8498923,356.9144107,139.9413114,98.53312527,382.3565354
c,0.25,0.864,0.73,0.436,352.1710088,179.8263044,67.87180104,71.63019717,545.5893576,399.1689938,117.2113631,194.99294,217.6526946,263.8028436
c,0.275,0.88,0.738,0.402,437.7116442,122.045333,567.6811331,201.1027261,407.2944585,245.0691683,96.7403176,237.4819095,514.2552636,126.0692764
c,0.3,0.858,0.744,0.392,427.817089,152.4303101,148.5161031,81.32199744,159.6100585,151.5075673,294.8193589,150.8360276,597.9614017,86.4912364
c,0.325,0.848,0.764,0.378,365.980964,182.4044209,447.9215335,182.8370711,542.2918701,390.1467129,337.3710409,118.9879565,632.9281684,43.57556023
c,0.35,0.862,0.79,0.372,395.2909613,95.22643052,58.33510855,87.95604817,209.7875415,159.9377301,470.3801426,153.119261,505.6680332,100.2326508
c,0.375,0.85,0.838,0.35,328.9922085,150.5223772,687.6031609,209.6354679,600.1483876,408.9686991,125.2998808,201.3182919,191.2112191,310.2175839
c,0.4,0.832,0.936,0.33,363.6573472,47.7724367,192.2587141,145.2137618,224.7620082,156.2541548,546.0586541,125.2594886,400.5200659,193.7595264
c,0.425,0.844,0.966,0.326,284.9796262,97.50406617,420.3473063,200.3917841,88.72761918,64.36286235,603.3604006,133.0085082,214.3136845,345.2313704
c,0.45,0.87,0.97,0.298,330.9582466,154.1509106,319.4479986,180.0638575,221.5858309,151.2655865,15.83350751,215.9780833,51.68522049,425.8129239
c,0.475,0.868,0.948,0.292,388.5678889,124.4167591,526.6639167,199.087252,527.8050704,396.5708743,249.2009542,222.2212484,59.29762762,434.2758024
c,0.5,0.846,0.926,0.266,416.6890383,94.66394897,164.1639016,149.8321973,418.2122431,374.8146401,511.1918436,140.0629408,221.2412597,329.8692236
c,0.525,0.85,0.886,0.272,392.3026915,49.70313623,502.7197315,262.052671,157.9647663,65.66126842,248.0503152,210.267875,397.8231389,286.8473639
c,0.55,0.874,0.842,0.278,346.2275547,72.97570013,388.7809591,192.6569912,401.5249148,285.1896147,260.224801,170.1602329,636.8821023,83.03309108
c,0.575,0.868,0.81,0.25,442.3824022,139.3321995,397.8260455,190.1399667,436.046734,343.0292249,316.4819612,157.7471424,135.5882762,437.3556602
c,0.6,0.832,0.784,0.284,336.1120234,107.1468802,150.9528542,98.67599258,122.7646338,143.0112465,602.8839799,88.61679933,506.1270377,106.6080866
c,0.625,0.816,0.756,0.244,337.5167423,216.1978932,703.3593262,252.7590822,133.8100598,129.0022424,47.11943481,176.8144727,-23.8116965,485.2808492
c,0.65,0.85,0.742,0.228,395.3384588,145.029979,225.9583435,117.7103406,207.8075281,160.230239,400.2404501,130.6595782,231.4964407,262.7608457
c,0.675,0.836,0.732,0.218,385.0398713,123.9120343,215.9353075,121.5637628,311.1372834,252.7769508,152.302287,202.4980291,-28.15598789,441.3326324
c,0.7,0.834,0.726,0.238,334.1713011,177.2779625,18.05775625,74.22763047,371.1912464,220.9620918,307.4553455,167.9038987,126.9941354,426.5176948
c,0.725,0.864,0.726,0.252,376.5286439,117.9195756,342.6484688,173.0204001,348.4624796,288.5664616,458.3867485,129.2180154,234.8882068,382.463438
c,0.75,0.874,0.73,0.254,378.061433,108.8048588,300.947199,161.106538,186.2424172,191.121571,333.8607118,163.7560441,458.0302007,184.7697893
c,0.775,0.838,0.74,0.272,420.6284687,167.0380447,44.05346678,66.34043935,587.6513899,441.6028246,362.9908628,148.0894853,647.2197582,37.63901459
c,0.8,0.846,0.756,0.25,309.2874562,132.6896639,375.2295239,162.4838978,271.5694868,163.3516751,649.0335469,77.64453754,539.9228999,138.7240786
c,0.825,0.882,0.776,0.238,345.8890043,69.66370868,-8.807619167,80.556422,680.2285633,462.3875074,36.41205853,230.5540101,551.4831982,103.5411102
c,0.85,0.888,0.806,0.236,314.2838259,108.3591486,151.0332314,116.9264312,71.17676008,93.90566848,20.20416418,198.6476778,311.2439965,278.526902
c,0.875,0.844,0.85,0.262,347.1188673,183.3807645,102.9506237,132.274809,313.6935513,301.7037933,165.595525,125.0365497,345.7080919,246.269293
c,0.9,0.81,0.866,0.244,351.4863229,71.86642041,33.43160541,93.39244428,344.4253892,254.3542029,464.2379394,95.51403795,221.7768592,296.9808235
c,0.925,0.804,0.902,0.25,345.3834417,66.68789178,246.7585093,97.71357888,263.0291695,172.3888383,105.943382,224.8345977,377.1843274,249.5980075
c,0.95,0.802,0.946,0.248,338.4989323,115.5592609,52.78450579,72.49995059,34.65325189,14.8901669,595.5458487,75.92824423,173.6581446,334.8780683
c,0.975,0.802,0.946,0.234,269.4255267,186.6807651,15.90061045,108.7268836,372.7711672,283.0600644,330.1450423,186.7184345,239.6048955,317.6880618
d,0,0.766,0.868,0.146,328.2986179,202.9381266,418.0710483,177.5930035,42.21016349,9.403625568,251.6151225,174.6921253,696.5591359,30.76733684
d,0.025,0.706,0.85,0.194,380.5454551,92.51681999,55.13042196,73.07834533,13.16661369,25.90192955,653.9454987,121.9124135,161.9555685,308.2634883
d,0.05,0.636,0.85,0.198,305.4927152,68.6191426,143.4582773,133.5393503,408.0033178,357.744423,522.8208118,124.7727333,523.8305697,119.2211039
d,0.075,0.604,0.842,0.2,395.1698661,78.69755835,560.6676682,230.5627235,110.8859257,139.8377213,279.7232175,172.2961275,142.6706924,331.5489709
d,0.1,0.542,0.794,0.218,352.8463989,171.0023745,364.8634657,171.6229,190.0637488,171.1247482,45.45915907,208.7916603,659.0355426,46.83977956
d,0.125,0.49,0.742,0.274,429.0501485,177.5208614,238.8349509,154.2201199,146.5398101,109.9716876,660.2269897,77.60500327,250.6376605,281.2391575
d,0.15,0.468,0.724,0.304,388.0279817,172.2379724,324.7190711,189.3448928,237.7558043,184.5560769,685.1296124,29.86700735,209.4336125,349.0083748
d,0.175,0.422,0.66,0.318,296.4692886,138.3509365,500.2161245,176.8757415,460.1733732,384.7816459,255.0834439,178.1860236,54.66988844,444.0635119
d,0.2,0.38,0.666,0.374,379.0251086,146.7257363,79.78098427,75.4710093,77.1920823,79.38209763,120.3255188,227.3660452,200.7766956,269.3612522
d,0.225,0.34,0.63,0.382,327.1117183,168.6156629,377.2251589,171.8526166,400.8735729,229.4253152,441.0082078,132.6420462,675.0158041,55.36335172
d,0.25,0.306,0.604,0.442,374.2883319,102.2951669,558.5131687,172.3065107,376.5643309,293.1900887,426.7403878,141.0256452,210.8373549,323.7570517
d,0.275,0.272,0.624,0.47,387.4216261,105.0357177,538.258862,208.0551906,105.5574698,110.1649082,351.6270024,152.4823717,404.2115395,106.4149105
d,0.3,0.25,0.626,0.476,383.2674014,174.7674729,715.4582459,275.9907405,425.8699287,275.5159823,130.1745472,175.7316739,689.7454759,-27.30278411
d,0.325,0.232,0.558,0.478,324.0625609,77.15320569,637.750236,247.7297499,109.4116743,84.62768867,324.6334415,126.807527,121.6057417,436.4362251
d,0.35,0.212,0.534,0.548,291.2398803,137.1422741,210.651418,100.910841,693.09895,491.7535089,298.5927103,153.0310964,494.3834167,107.7280768
d,0.375,0.204,0.538,0.562,412.65179,184.8610546,663.2759352,182.8405761,457.2201029,311.6980118,408.1414336,127.6952676,444.8120003,238.0059178
d,0.4,0.194,0.546,0.544,307.4210936,189.3039177,659.8704812,193.5574313,247.7457353,240.6106281,639.6704429,85.72728404,534.5058832,189.9803244
d,0.425,0.184,0.498,0.586,347.7781012,138.8134221,53.52659829,98.95388428,484.1706313,340.8379893,318.1621821,122.2975231,339.4065413,290.7178222
d,0.45,0.176,0.5,0.602,393.6904923,109.7270967,83.67047108,36.391772,8.300239773,74.88584458,180.0315165,216.6597727,157.0126098,338.9004516
d,0.475,0.174,0.504,0.594,412.6703128,140.3037702,667.2935701,184.0587637,131.9362234,140.1606334,691.8442425,46.88422929,70.08728742,368.9275818
d,0.5,0.17,0.476,0.634,304.3512174,118.4553868,202.0405808,128.2167484,697.7650208,474.6282296,290.8118281,179.264599,429.2484362,163.9799377
d,0.525,0.168,0.442,0.668,367.8746592,46.36937162,670.6817573,253.7778072,395.16467,224.2445763,139.1708161,171.4136811,375.4878091,148.1786784
d,0.55,0.168,0.41,0.708,421.7520177,50.53244538,465.8847749,177.3021423,408.8147768,354.7682825,149.6637987,206.8492515,401.6106484,176.0420722
d,0.575,0.168,0.38,0.734,328.8792859,116.0375088,175.5947163,131.2658554,500.2088582,302.1856992,290.5808189,154.9612006,-15.13242289,470.859351
d,0.6,0.168,0.416,0.754,251.7124655,109.9438376,503.6388537,228.4488696,12.38437772,3.291176538,599.194653,95.25760747,23.66721507,513.4789899
d,0.625,0.168,0.386,0.742,419.1600886,119.5933399,655.3436113,256.4943512,531.3505501,423.6044096,324.4824203,161.2129733,587.2650318,46.02254063
d,0.65,0.176,0.33,0.814,414.5177401,115.944461,371.545967,177.2125253,288.1555619,228.7934006,254.2346201,170.5208889,19.18911499,439.5856873
d,0.675,0.192,0.35,0.82,292.6526504,160.1102567,650.7153804,206.7840628,665.0560783,475.2575034,277.5978692,141.0294178,598.7160287,101.442183
d,0.7,0.208,0.336,0.808,449.2685537,73.85961806,156.530339,165.7396754,189.6753586,104.4460537,160.1671255,262.3439407,329.8710071,298.5277833
d,0.725,0.228,0.266,0.85,288.8400759,194.4101773,253.3563285,129.8150894,633.7638265,414.7007239,689.7536567,78.54920141,684.5652997,58.53455389
d,0.75,0.248,0.284,0.86,428.6830927,170.8263138,361.0312654,170.5017153,598.6268305,402.4759955,577.6272134,107.7623822,548.242493,77.33565014
d,0.775,0.264,0.282,0.858,299.0968296,135.9361397,390.4011246,142.3720244,272.3723367,250.2620775,10.0163627,242.1587678,200.4434901,331.9477413
d,0.8,0.3,0.254,0.878,320.7275964,185.0143517,440.6035702,194.0649166,231.1023429,180.9365854,505.8711454,88.69640769,554.279251,113.7209925
d,0.825,0.326,0.222,0.912,374.3223795,141.8930491,361.0584283,192.0637254,677.5831959,483.8354978,423.8423082,128.0015872,67.19861738,337.9546788
d,0.85,0.362,0.234,0.902,386.8270359,151.3126186,337.9661174,177.4066343,170.1948225,165.6260081,693.2301493,33.94970186,35.52366253,441.0448375
d,0.875,0.412,0.23,0.912,377.4339197,106.3833103,51.16682586,67.91497385,25.25313433,22.24498161,513.0726453,154.3175316,-2.243552464,463.9130099
d,0.9,0.49,0.186,0.944,371.2468824,239.0705496,678.038226,238.4951373,275.3996694,228.5722273,504.4192085,160.736614,681.9311022,15.09353205
d,0.925,0.588,0.142,0.954,411.9944821,141.9009601,397.3799494,165.6461944,624.099399,460.9898764,448.0663637,101.4053202,33.37357837,465.8281316
d,0.95,0.672,0.102,0.968,376.2441818,139.7783093,142.7426193,114.318247,276.9105903,243.8442885,245.2565089,156.8550137,204.8146983,347.9892601
d,0.975,0.762,0.064,1.006,379.7296222,146.1995156,264.5415219,117.1323127,208.0517406,158.8849819,429.8580967,107.9269718,227.4220391,264.3618335
