Id,Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Species
24,4.384985688781488,3.828815648939163,1.3138380949384294,0.11121714631588099,Iris-setosa
25,5.9381262174523055,2.954375520779336,4.499755788569104,1.5183273058098727,Iris-versicolor
26,5.278150930381681,3.7222670673818614,1.5020912241797715,0.20665264811583856,Iris-setosa
27,6.209959655219884,3.3545453497827684,5.396388158724574,2.353527485283386,Iris-virginica
28,6.264341989582822,2.8831041436704496,4.673225478842626,1.3838202919277949,Iris-versicolor
29,6.633989146198737,3.6736287002789476,3.2646916852108983,1.1104133339289786,Iris-setosa
30,5.465861759779489,3.8760497422699105,1.6250785345333876,0.3766373908032347,Iris-setosa
31,7.6957557869988955,2.6745292214742404,6.722396312472683,1.913613387476525,Iris-virginica
32,6.506888615870553,3.0458743220361746,4.30613343215804,1.3511164297686595,Iris-versicolor
33,7.144905008862343,3.246562068237501,4.552419921227746,1.367921556909731,Iris-versicolor
34,5.118765874690406,3.24973015859327,1.8696485986206146,0.21074566997650152,Iris-setosa
35,5.922527506029524,2.9180999434716015,4.3086888386972815,1.5322905723197144,Iris-versicolor
36,6.769546843552712,3.0801829066228064,4.583174574493363,1.4698769435849095,Iris-versicolor
37,5.991788237600368,2.3830771449493615,1.943401162849593,1.4319053185717714,Iris-virginica
38,4.628472095886682,3.4801282028795004,5.241519429472718,2.3528582478965734,Iris-virginica
39,4.780267576221733,3.3487299152223153,2.0461854223829588,1.7481135209988539,Iris-setosa
40,4.660205707476597,3.1564879281355163,1.634643638699503,0.9436841015142287,Iris-virginica
41,5.8288440159637585,2.6454377684387715,4.2416635172507995,1.2336062318960606,Iris-versicolor
42,6.256168499588701,3.065050807005562,4.829981817110859,1.8623701725158268,Iris-versicolor
43,4.7039039578396835,3.3881781705092235,1.633778595040379,0.1036161081462724,Iris-setosa
44,5.97853678529453,2.6497287676020376,4.954742530534546,1.6503138824081938,Iris-versicolor
45,4.996684821779557,2.1682720490142895,3.855579197517451,1.6554690983812503,Iris-setosa
46,7.754392076470431,2.5642195548720412,5.093908691955824,0.3067051326506608,Iris-setosa
47,4.40215193331172,2.890187186395096,1.4411447478488006,0.10942462475821646,Iris-setosa
48,6.14295086715074,2.7994635066768585,4.810528768464146,0.5884395359051626,Iris-setosa
49,5.014157245052226,2.005613562314816,3.4551257928899854,0.9831103977785484,Iris-versicolor
50,5.704572304470377,2.6534422627662595,4.097040062989772,1.3035253009308385,Iris-versicolor
51,5.640634522858403,2.751107230813667,4.097100744600178,1.2217453272741208,Iris-versicolor
52,5.7544802473394565,2.7389223886546774,5.0326701046380125,2.3811957089575557,Iris-virginica
53,5.257609828841058,3.503308775620114,1.3545874360958388,0.21691882154091613,Iris-setosa
54,5.111429315653703,3.7384718721282844,1.7698823300729503,0.3182808038882635,Iris-setosa
55,5.907910088360843,3.9873685910737318,1.0645380635772859,0.10846211337738249,Iris-setosa
56,5.039630412267599,3.050658172071042,3.165364992940055,1.6472122110217433,Iris-versicolor
57,5.4792281042963,3.4260650185098447,1.8739571066601313,0.36495736480048185,Iris-setosa
58,6.22718105377604,2.8993499204450344,4.805207371219148,1.324574895792322,Iris-versicolor
59,5.478539364039117,3.477446989570025,1.5363449223707493,0.42085109746346006,Iris-setosa
60,4.6266040353924405,2.296027068242303,1.3054631372534236,0.21259147217950577,Iris-setosa
61,4.397251049254658,2.9370855028832437,1.3387682303262691,0.1147825745475085,Iris-setosa
62,6.4534909382752845,3.305001959777633,4.615780164061213,1.5408621480702724,Iris-versicolor
63,4.408573413033048,3.297489791883651,1.5263291376158006,0.14429561766040308,Iris-setosa
64,4.585771071551578,3.2225601552860996,1.5434883314878234,0.2229580017323387,Iris-setosa
65,4.920098024729593,2.35993044313464,3.236969713172636,1.0125817885096637,Iris-versicolor
66,5.847331635084959,3.0359706511901963,5.046848837274165,2.003101073034305,Iris-virginica
67,4.729282206275079,3.0900160460210877,1.8280813370926476,0.12243900429074295,Iris-setosa
68,7.64361718254968,3.0470665226553577,6.329575943656147,2.033486924299622,Iris-setosa
69,5.6122593104324965,2.4784185776246153,4.564969725365756,0.1413339528806333,Iris-versicolor
70,7.034090439139784,2.6482180186655055,3.321324117631292,2.495100582472878,Iris-setosa
71,5.593611315086,3.041421800629036,3.9616276696665187,1.3156189233314421,Iris-versicolor
72,7.29029917237635,3.597941256466562,6.081401742834567,2.4959823112560393,Iris-virginica
73,6.398198690018133,2.8656229594477636,4.256986447860542,1.4634687843933818,Iris-versicolor
74,4.925775578561688,2.2060788971973246,3.9545091162910695,1.8368044483312134,Iris-versicolor
75,4.676168385015207,3.2002829077663226,1.8389666322792606,0.13511583831579682,Iris-setosa
76,6.056368705953958,3.29872776926377,3.7525253383387738,0.5724552213058564,Iris-versicolor
77,5.897818666748099,3.9834015172231756,1.0474035677775027,0.2149777473984997,Iris-setosa
78,7.3462085828703305,2.491734121016079,4.5839017496352295,0.5363098847809291,Iris-virginica
79,5.171642840165233,3.33426846737417,1.4885446802222495,0.12208546602101868,Iris-setosa
80,6.081671161844418,2.4379118509875384,2.760736490149349,0.6991542146332343,Iris-versicolor
81,6.626154839167632,2.464838458868041,2.9189749093186754,1.0723096527456295,Iris-versicolor
82,4.75730798649065,2.9935979291992245,1.5608216906807815,0.16970192579128965,Iris-setosa
83,4.910433289042232,2.597421822412808,4.393216436690967,1.6787683672099611,Iris-virginica
84,6.226951011973793,2.612021682687645,5.594292380860008,1.4077210376980247,Iris-virginica
85,7.049614141836183,3.4224725731516807,5.625178550252862,0.4534814069794738,Iris-versicolor
86,6.786093167531418,3.1276035412797087,4.482507446764481,1.396526835760013,Iris-versicolor
87,4.9929074737335455,3.4497614500121885,1.518564682767108,0.13790697024017493,Iris-setosa
88,6.081107014136801,2.8729656612103116,4.537207105998141,1.4491406427949582,Iris-versicolor
89,5.486164213035609,2.89435738217815,5.64535478979929,2.3505830095862845,Iris-virginica
90,5.010957677181781,3.5350809837422785,1.8572053133890958,0.6149271422974424,Iris-setosa
91,6.024345101934209,3.423363188436469,4.305800925459348,1.5903742453424892,Iris-versicolor
92,4.9211013591936075,3.5760104665043064,1.4529478097769315,0.10555068122831697,Iris-setosa
93,5.49884416815203,3.7425038634097043,1.4715912077819033,1.795868057252057,Iris-virginica
94,5.199326411083644,3.758093988577969,1.8335805020623046,0.46246595447701316,Iris-setosa
95,4.645049419230542,3.6016463617519525,1.1422530011044452,0.1093505344112243,Iris-setosa
96,6.42279851514344,2.9446236602852705,4.478356862454184,1.4287853379237831,Iris-versicolor
97,5.214827137875397,3.4734091778259635,1.4096278225942838,0.15042780426089764,Iris-setosa
98,7.650300958907328,4.282228919305472,6.7779845943965285,1.9660932613164925,Iris-virginica
99,4.387559956354449,2.964879592841031,1.251138399206915,0.18890545838451064,Iris-setosa
100,6.753426521274066,3.1617196124133495,5.070427543975727,1.67707401686109,Iris-versicolor
101,5.532113963620873,3.867002688331646,1.7838104428064097,0.39066264954033025,Iris-setosa
102,7.223746411971134,2.9535803065003994,6.015071005474925,1.8564359244894064,Iris-virginica
103,4.611668059742352,3.7926126559681905,6.363680832044933,2.390146683378272,Iris-versicolor
104,4.861084172777533,3.549182141288613,1.7395230471210827,0.3933773386175444,Iris-setosa
105,5.959682896636209,3.325040543836081,4.320065522552598,1.4643107247087757,Iris-versicolor
106,6.423024934907904,3.2898961788069037,4.2643581487654565,1.5338718314729995,Iris-versicolor
107,6.519856506859538,2.9241589781113833,4.793665609525832,1.426942853668122,Iris-versicolor
108,4.626864357376059,3.398643423760968,1.573169371287383,0.26903514654197774,Iris-setosa
109,6.118109353638897,3.4054829183019493,5.2193274390539655,2.310067057575545,Iris-virginica
110,6.126344528004214,3.0683252180743197,4.660381584378535,1.2673816605519614,Iris-versicolor
111,6.945580715234423,3.156816943975187,5.3689610724761,2.0584805203449403,Iris-virginica
112,6.28814213221581,3.1246939115566708,5.4433663338670115,1.8044788331135482,Iris-virginica
113,6.92329588662205,2.9045514540478186,2.369090534455923,0.4951973986199566,Iris-versicolor
114,7.703802882645828,2.744941292442899,6.642559639815173,1.956506505093923,Iris-virginica
115,5.83615563428693,3.630455060563418,1.3796910602985915,1.1740321995485947,Iris-setosa
116,6.582506043861207,2.9610676498458894,5.964832502555381,2.235582042731597,Iris-virginica
117,6.284805423039197,2.4981227808636786,4.851380478537451,1.4532364294935691,Iris-versicolor
118,6.214299983784063,2.280009006563584,1.0106004808619058,2.206981790607166,Iris-setosa
119,5.309140915195759,3.6547547790710944,6.4332704832149075,1.7425840364282241,Iris-versicolor
120,7.283671530645678,3.2862199307325852,5.865090132933399,1.8754788586818558,Iris-virginica
121,6.170417693678108,2.7605907164032017,4.20468092901692,1.3535397260739817,Iris-versicolor
122,7.066625189260334,4.234464572997987,4.161570680171832,2.307853228615565,Iris-virginica
123,7.356492997116509,2.964944353940745,5.918695423536863,1.6321168891385536,Iris-virginica
124,5.206550566770067,3.3396632654810694,6.354655262857937,1.2318059794676937,Iris-versicolor
125,5.743894571773905,2.717829688415037,4.241078247644513,1.4497549202676405,Iris-versicolor
126,5.19298563044313,3.7147437024363046,1.7112863579048072,0.15441364378367772,Iris-setosa
127,5.053294949451539,3.2473750379585953,1.7704724049758338,0.5724525575548547,Iris-setosa
128,5.2223011295963975,2.9058181155887017,5.539071486632305,1.5571080985862322,Iris-setosa
129,5.057903771779596,3.715208840174881,1.603874710164493,0.5154922425432654,Iris-setosa
130,6.604134386263753,2.8973677602981227,4.67891231666918,1.4964764229236538,Iris-versicolor
131,5.908654448556025,2.628764730036635,3.699653487398977,1.2379945585921721,Iris-versicolor
132,5.204100863620359,3.4457907634745957,1.3045773114003134,0.1244367885244444,Iris-setosa
133,7.796611389754028,4.181550421884987,6.492133124985897,0.4602211792738799,Iris-versicolor
134,6.11827003948735,2.662766027804012,5.61084005590941,1.3838790054164127,Iris-virginica
135,5.78678558016271,2.9685035460913216,3.981061383273628,1.4942482621628144,Iris-versicolor
136,6.319749268836937,2.528380297573411,4.996997411038375,1.4209331979323037,Iris-versicolor
137,4.596446629570358,3.4794224852018587,5.232267053108791,1.5758272145221746,Iris-versicolor
138,7.2430529141313755,3.009766593076573,5.833107151583643,1.632236111145141,Iris-virginica
139,5.412457222275344,2.6119280405886443,4.474043870116406,1.2554704454253547,Iris-versicolor
140,6.37065457093778,3.429038906527614,5.569644304869653,2.205424973913277,Iris-virginica
141,5.927088167275245,2.176880558136476,4.209976601546612,0.9587465331770858,Iris-versicolor
142,7.378165823414014,2.4609017999153204,3.834985324157336,1.2647552851599626,Iris-versicolor
143,6.0978823267700495,2.237147534917887,2.612820582436231,2.1965721906058966,Iris-virginica
144,7.395884042284072,2.7612381912389323,6.201532228816339,1.9813814495483155,Iris-virginica
145,5.8045399542360885,2.1774903822982385,4.639670287049483,1.871210780406819,Iris-versicolor
146,4.791687695120565,3.0439514349380743,1.3316755187958345,0.12788352657294944,Iris-setosa
147,7.690898781734815,3.011184238825283,6.216346237514295,2.3514394015717253,Iris-virginica
148,6.445326771159159,3.116228373946323,5.608501045610264,1.8136106061626067,Iris-virginica
149,7.210496429097544,2.928170118946234,6.24762711495529,2.4980818164541896,Iris-virginica
