age,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,employment_type
48.0,14.0,1,2,0,1,1,0,37.0,1,1,0
45.0,10.0,0,2,0,1,0,0,44.0,1,0,1
37.0,9.0,1,2,0,1,0,0,40.0,1,1,1
54.0,11.0,1,2,0,1,0,0,38.0,1,1,1
23.0,7.0,1,4,0,1,0,0,39.0,1,1,1
31.0,9.0,0,4,0,0,0,1,39.0,1,1,1
20.0,11.0,0,0,0,0,0,0,43.0,1,1,1
38.0,15.0,0,2,0,1,0,0,31.0,1,0,1
46.0,9.0,0,0,0,0,0,0,57.0,1,1,1
42.0,14.0,0,1,0,0,0,0,39.0,1,0,0
52.0,12.0,0,0,0,1,0,0,38.0,1,1,1
40.0,9.0,0,3,0,0,0,0,52.0,1,1,1
52.0,13.0,1,2,0,1,0,0,40.0,1,1,1
18.0,11.0,1,4,0,0,0,0,38.0,1,1,1
35.0,13.0,0,0,0,1,0,0,37.0,1,1,1
42.0,9.0,0,2,3,1,0,0,43.0,1,1,1
42.0,10.0,1,3,0,0,0,0,84.0,1,1,1
45.0,7.0,1,2,0,1,1,0,36.0,1,1,1
31.0,9.0,1,3,0,0,0,0,26.0,1,1,1
41.0,5.0,1,0,0,0,0,0,36.0,1,1,2
30.0,9.0,1,2,0,1,0,0,23.0,1,1,1
49.0,11.0,1,2,0,1,0,1,39.0,1,0,1
43.0,13.0,0,1,0,0,0,0,52.0,1,0,1
24.0,13.0,1,3,3,0,0,0,36.0,1,0,1
53.0,10.0,0,1,3,0,0,0,40.0,1,1,1
25.0,9.0,1,5,3,0,0,0,39.0,1,1,2
19.0,9.0,0,3,0,0,0,0,13.0,1,1,1
26.0,10.0,0,4,0,1,0,0,26.0,1,1,1
34.0,9.0,1,2,0,1,0,0,37.0,1,1,0
38.0,11.0,1,4,0,1,0,0,43.0,1,1,1
22.0,14.0,1,4,0,1,0,0,38.0,1,1,1
34.0,10.0,0,2,0,1,1,0,53.0,1,0,0
39.0,4.0,1,2,0,1,0,0,48.0,1,1,1
40.0,8.0,0,0,0,0,0,0,56.0,1,1,2
35.0,14.0,0,2,0,1,0,0,40.0,1,0,1
51.0,9.0,0,0,0,1,0,0,44.0,1,0,2
64.0,4.0,1,3,0,1,0,0,40.0,1,1,1
17.0,13.0,1,4,3,1,1,0,17.0,1,1,1
50.0,15.0,0,3,0,1,0,0,40.0,0,0,0
41.0,9.0,1,4,2,1,0,0,39.0,0,1,2
39.0,5.0,1,0,0,0,0,0,38.0,1,1,1
26.0,13.0,1,4,0,0,0,0,37.0,1,1,0
42.0,13.0,1,0,0,0,0,0,37.0,1,1,1
37.0,11.0,0,2,0,1,0,0,43.0,1,1,1
41.0,13.0,0,2,0,1,0,0,42.0,1,1,2
61.0,6.0,0,2,3,1,0,0,49.0,1,1,1
27.0,10.0,0,3,0,0,0,0,44.0,1,1,0
41.0,14.0,0,2,0,1,0,0,39.0,1,1,1
37.0,10.0,1,2,4,1,0,0,38.0,0,1,1
37.0,13.0,0,2,0,1,0,0,37.0,1,0,1
33.0,11.0,0,2,0,1,1,1,39.0,1,0,2
35.0,13.0,0,0,0,0,0,0,54.0,1,1,1
28.0,5.0,1,3,0,1,0,0,40.0,1,1,1
50.0,11.0,1,4,0,1,0,0,37.0,1,1,1
42.0,11.0,1,2,0,1,0,0,50.0,1,1,1
29.0,9.0,1,3,0,0,0,0,50.0,0,1,1
32.0,9.0,1,3,0,1,0,0,53.0,1,1,1
36.0,5.0,0,3,0,1,0,0,34.0,1,1,1
42.0,11.0,1,0,0,0,0,0,38.0,1,1,2
35.0,10.0,0,2,0,1,0,0,82.0,1,1,1
61.0,14.0,1,3,3,1,0,0,36.0,1,1,1
59.0,11.0,1,0,1,1,0,0,49.0,1,1,1
61.0,10.0,0,2,4,1,0,0,38.0,1,0,1
51.0,9.0,1,3,0,1,0,0,44.0,1,1,1
21.0,13.0,1,5,0,1,0,0,37.0,1,1,1
27.0,9.0,1,3,0,1,0,0,38.0,0,1,1
29.0,14.0,1,2,0,1,0,0,52.0,1,1,0
43.0,14.0,0,2,0,1,0,0,36.0,1,0,1
63.0,9.0,0,2,0,1,0,0,53.0,1,1,2
65.0,9.0,0,2,0,1,0,0,42.0,1,0,1
54.0,9.0,0,2,0,1,0,0,40.0,1,1,1
68.0,9.0,0,2,0,1,0,1,22.0,1,0,0
51.0,13.0,0,2,0,1,0,0,37.0,0,0,1
26.0,10.0,1,3,0,1,0,0,69.0,1,1,1
31.0,11.0,0,3,0,0,0,0,38.0,1,1,1
42.0,9.0,0,3,0,1,1,0,73.0,1,1,1
31.0,11.0,0,4,0,1,0,0,38.0,1,1,0
61.0,10.0,0,2,0,1,1,0,38.0,1,0,1
52.0,13.0,0,2,0,1,0,0,45.0,1,0,1
24.0,9.0,1,4,3,0,0,0,44.0,1,1,1
39.0,13.0,1,2,3,1,0,0,40.0,1,1,1
41.0,9.0,1,2,0,1,0,0,40.0,1,1,1
53.0,10.0,0,3,0,1,0,0,61.0,1,1,0
58.0,9.0,1,1,0,0,0,0,37.0,1,1,1
54.0,10.0,1,4,0,1,0,0,60.0,1,1,1
52.0,6.0,1,2,0,1,0,0,36.0,1,1,1
41.0,11.0,1,2,0,1,0,0,28.0,1,1,1
36.0,9.0,0,3,0,1,0,0,36.0,1,1,1
26.0,9.0,0,3,0,1,0,0,40.0,1,1,0
40.0,10.0,1,0,0,0,0,0,39.0,1,1,0
34.0,10.0,1,0,0,0,0,0,37.0,1,1,1
41.0,9.0,0,0,0,0,0,0,37.0,1,1,1
36.0,9.0,0,3,0,1,1,0,53.0,1,1,0
18.0,9.0,0,4,0,1,0,0,19.0,1,1,2
42.0,11.0,0,2,0,1,0,0,39.0,1,1,1
40.0,15.0,0,2,0,1,0,1,39.0,1,0,1
30.0,9.0,1,2,0,1,0,0,38.0,1,1,1
35.0,9.0,0,3,0,0,0,0,10.0,1,1,1
20.0,9.0,0,3,0,1,0,0,13.0,1,1,1
44.0,13.0,0,3,0,0,0,0,39.0,1,1,1
76.0,8.0,0,3,0,1,0,0,16.0,1,1,1
36.0,13.0,1,0,0,0,0,0,44.0,1,1,1
58.0,14.0,0,2,0,1,0,1,53.0,1,0,0
28.0,7.0,1,4,3,1,0,0,48.0,1,1,1
55.0,10.0,1,2,0,1,0,0,39.0,1,1,1
44.0,13.0,1,2,0,1,1,0,38.0,1,0,1
18.0,9.0,1,4,0,0,0,0,22.0,1,1,1
35.0,14.0,0,3,3,1,0,0,40.0,1,0,1
59.0,13.0,1,2,0,1,0,0,35.0,1,1,1
67.0,9.0,0,3,3,0,0,0,35.0,0,1,1
34.0,11.0,0,2,0,1,0,0,36.0,1,0,1
40.0,14.0,1,3,0,0,0,0,37.0,0,0,1
33.0,9.0,0,2,0,1,1,0,68.0,1,0,1
41.0,10.0,1,2,0,1,0,0,37.0,1,1,0
54.0,9.0,1,3,0,1,0,0,37.0,1,1,1
32.0,9.0,0,2,0,1,0,0,60.0,1,0,1
26.0,13.0,1,4,0,1,0,0,52.0,1,1,1
76.0,11.0,1,0,3,0,0,0,8.0,1,1,2
49.0,6.0,1,2,3,1,0,0,40.0,0,1,0
51.0,9.0,1,2,3,1,0,0,8.0,1,1,1
42.0,10.0,0,2,0,1,0,0,38.0,1,0,1
34.0,13.0,0,2,0,1,1,0,38.0,1,1,1
40.0,6.0,0,3,0,0,0,0,33.0,0,1,1
40.0,12.0,1,0,0,0,0,0,64.0,1,1,1
20.0,9.0,0,4,0,1,0,0,16.0,1,1,0
37.0,12.0,1,1,0,0,0,0,36.0,1,1,1
23.0,9.0,1,4,0,0,0,0,39.0,1,1,1
17.0,10.0,0,4,0,0,0,0,36.0,1,1,1
19.0,9.0,1,4,0,1,0,0,28.0,1,1,1
33.0,6.0,1,2,0,1,0,0,52.0,0,1,1
47.0,4.0,1,2,0,1,0,0,53.0,1,1,0
23.0,6.0,0,4,0,1,0,0,61.0,1,1,1
19.0,7.0,1,4,3,1,0,1,37.0,1,1,1
30.0,14.0,0,3,0,0,0,0,38.0,1,0,1
53.0,10.0,1,0,2,0,0,0,38.0,0,1,1
24.0,10.0,1,3,0,1,0,0,37.0,1,1,1
22.0,11.0,1,4,0,1,0,0,35.0,1,1,1
29.0,14.0,1,0,0,0,0,0,40.0,1,1,1
70.0,15.0,0,2,0,1,1,0,32.0,1,0,1
24.0,10.0,1,3,0,0,0,0,36.0,1,1,1
20.0,9.0,1,4,1,1,0,0,20.0,1,1,1
53.0,13.0,0,2,0,1,0,0,55.0,1,0,1
47.0,13.0,0,3,0,1,0,0,53.0,1,1,0
46.0,13.0,0,2,3,1,0,0,36.0,1,1,1
45.0,11.0,1,3,0,0,0,0,36.0,1,1,0
17.0,10.0,0,4,0,0,0,0,38.0,1,1,1
31.0,14.0,1,3,0,0,0,0,51.0,1,1,1
64.0,9.0,0,0,0,1,0,0,36.0,1,1,1
51.0,9.0,1,0,0,0,0,0,36.0,1,1,0
19.0,11.0,1,4,0,0,0,0,38.0,1,1,1
18.0,13.0,0,4,0,0,0,0,15.0,1,1,1
32.0,13.0,1,0,0,0,0,0,31.0,1,1,1
23.0,9.0,0,3,0,1,0,0,52.0,1,0,1
46.0,9.0,0,2,0,1,1,0,37.0,1,0,0
49.0,9.0,1,0,0,0,0,0,37.0,1,0,1
41.0,14.0,1,3,0,1,0,1,40.0,1,1,0
32.0,9.0,0,3,0,1,1,0,37.0,0,0,1
87.0,13.0,1,4,0,0,0,0,38.0,0,1,1
41.0,13.0,1,2,0,1,0,0,38.0,1,1,1
42.0,8.0,0,3,0,0,0,0,22.0,1,1,1
55.0,5.0,0,2,0,1,0,0,41.0,1,1,1
53.0,9.0,1,3,0,1,0,0,51.0,1,1,1
32.0,7.0,1,1,0,0,0,0,39.0,1,1,1
24.0,9.0,0,4,0,0,0,0,37.0,1,1,1
44.0,9.0,0,3,0,0,0,0,60.0,1,1,1
43.0,9.0,0,0,0,1,0,0,39.0,1,1,1
40.0,5.0,1,3,2,1,0,0,20.0,0,1,1
19.0,9.0,1,4,0,1,0,0,18.0,1,1,1
31.0,9.0,1,4,0,1,0,0,57.0,1,1,1
49.0,14.0,0,2,0,1,0,0,40.0,1,0,1
43.0,9.0,0,2,0,1,0,0,40.0,1,0,1
30.0,9.0,1,2,2,1,0,0,39.0,1,1,1
49.0,14.0,0,2,0,1,0,0,38.0,1,0,2
47.0,14.0,0,2,3,1,0,0,39.0,1,0,1
20.0,9.0,1,4,0,1,0,0,39.0,1,1,1
40.0,11.0,0,2,0,1,0,0,37.0,1,0,1
39.0,10.0,0,0,2,1,0,0,40.0,1,1,1
50.0,8.0,1,0,3,0,0,0,36.0,1,1,1
60.0,9.0,0,3,0,0,0,0,35.0,1,1,1
63.0,16.0,0,2,0,1,1,0,37.0,1,0,2
42.0,9.0,1,2,0,1,0,0,54.0,1,1,2
42.0,9.0,0,2,3,1,0,0,39.0,1,0,2
64.0,9.0,0,2,0,1,0,0,22.0,1,1,1
24.0,11.0,0,4,0,0,0,0,37.0,1,1,1
38.0,11.0,1,4,0,0,0,0,60.0,1,1,1
23.0,14.0,0,4,0,0,0,0,20.0,1,1,1
52.0,13.0,1,3,0,1,1,0,39.0,1,1,1
31.0,9.0,1,3,0,1,0,0,37.0,0,1,1
35.0,10.0,0,4,0,1,0,0,37.0,1,1,1
38.0,13.0,0,3,0,0,0,0,36.0,1,1,1
48.0,10.0,1,1,0,0,0,1,54.0,1,1,2
41.0,9.0,0,3,0,1,1,1,46.0,1,1,1
29.0,14.0,0,2,0,1,0,0,32.0,1,0,1
37.0,9.0,1,2,0,1,0,0,36.0,1,0,1
43.0,10.0,0,0,0,0,0,0,41.0,1,1,2
43.0,12.0,1,2,0,1,0,0,49.0,1,1,1
55.0,13.0,0,3,0,0,0,0,59.0,1,1,2
42.0,9.0,0,2,0,1,0,0,42.0,1,1,2
27.0,4.0,1,3,0,1,1,0,40.0,1,1,1
36.0,10.0,1,3,0,0,0,0,36.0,1,1,1
45.0,13.0,0,2,0,1,0,0,55.0,1,1,0
35.0,14.0,0,2,0,1,1,0,50.0,1,0,1
25.0,10.0,0,4,0,0,0,0,60.0,1,1,1
39.0,10.0,0,2,0,1,1,0,40.0,1,0,1
51.0,15.0,0,3,0,0,1,0,37.0,1,0,1
18.0,9.0,0,4,0,1,0,0,30.0,1,1,1
77.0,9.0,0,0,0,0,0,0,22.0,1,1,2
22.0,4.0,1,3,0,1,0,0,36.0,1,1,1
55.0,13.0,0,2,0,1,0,0,36.0,1,0,1
32.0,16.0,0,2,0,1,0,0,67.0,1,0,1
61.0,10.0,0,2,3,1,0,0,18.0,1,1,1
32.0,14.0,0,2,0,1,0,0,36.0,1,0,1
30.0,9.0,0,2,0,1,0,0,40.0,1,1,1
25.0,3.0,1,4,0,1,0,0,38.0,0,1,1
26.0,9.0,0,2,0,1,1,0,37.0,1,1,1
33.0,13.0,0,2,3,1,0,0,36.0,1,0,0
22.0,14.0,0,2,2,1,0,1,64.0,1,0,0
28.0,11.0,1,3,0,0,0,0,42.0,1,1,1
39.0,10.0,1,4,0,1,0,0,39.0,1,1,1
22.0,10.0,1,2,0,1,0,0,39.0,1,1,1
75.0,9.0,0,3,2,1,0,0,73.0,1,1,0
42.0,11.0,1,3,0,1,0,0,37.0,1,1,2
26.0,10.0,1,2,0,1,0,0,37.0,1,1,1
44.0,10.0,1,3,0,1,0,0,38.0,1,1,1
49.0,14.0,0,2,0,1,0,0,32.0,1,0,1
19.0,9.0,1,4,0,0,0,0,25.0,1,1,1
44.0,14.0,0,2,0,1,1,0,39.0,1,0,0
53.0,16.0,0,2,0,1,1,0,37.0,1,0,1
39.0,14.0,1,3,0,1,0,0,37.0,1,1,1
35.0,11.0,0,2,0,1,0,0,37.0,1,1,1
27.0,14.0,0,3,0,1,0,0,36.0,1,1,1
29.0,11.0,1,3,3,1,0,0,37.0,1,1,1
42.0,14.0,1,0,0,1,0,0,42.0,1,1,1
34.0,9.0,1,3,0,0,0,0,46.0,1,1,1
46.0,9.0,1,3,3,0,0,0,36.0,1,1,1
39.0,15.0,1,1,0,0,0,0,36.0,1,0,1
27.0,11.0,1,5,0,1,0,0,43.0,1,1,0
43.0,9.0,0,2,2,1,0,0,74.0,1,1,1
54.0,13.0,0,2,0,1,0,0,36.0,1,1,1
33.0,9.0,1,2,0,1,0,0,39.0,1,1,2
23.0,9.0,0,3,0,1,0,0,19.0,1,0,0
26.0,10.0,1,4,0,1,0,0,25.0,1,1,0
30.0,11.0,0,4,0,1,0,0,36.0,1,1,1
23.0,11.0,0,4,0,1,0,0,39.0,1,1,1
45.0,12.0,1,2,0,1,0,0,36.0,1,1,1
22.0,5.0,1,3,0,1,0,0,54.0,1,1,1
37.0,11.0,0,2,0,1,0,0,36.0,1,1,1
35.0,9.0,1,2,0,1,0,1,38.0,1,0,1
40.0,9.0,0,3,0,0,0,0,18.0,1,1,1
31.0,11.0,1,2,0,1,0,0,60.0,1,0,1
22.0,4.0,1,3,0,1,0,0,37.0,1,1,1
55.0,9.0,1,2,0,1,0,0,61.0,1,1,1
25.0,12.0,1,1,0,0,0,0,36.0,1,1,1
24.0,11.0,1,3,0,1,0,0,40.0,1,1,1
23.0,10.0,1,3,0,0,0,0,60.0,1,1,1
49.0,13.0,0,2,0,1,0,0,44.0,1,0,0
33.0,9.0,0,2,2,1,0,0,39.0,0,1,2
34.0,11.0,1,2,0,1,0,0,53.0,1,1,2
21.0,9.0,1,4,0,0,0,0,39.0,1,1,1
59.0,13.0,0,2,0,1,0,0,38.0,1,1,1
18.0,5.0,0,4,0,0,0,0,37.0,1,1,2
28.0,10.0,0,3,0,1,0,0,36.0,1,1,1
35.0,14.0,0,0,0,1,0,1,45.0,1,0,1
29.0,13.0,0,3,0,0,0,0,39.0,1,1,1
32.0,9.0,1,4,0,0,0,0,39.0,1,1,1
40.0,13.0,1,2,2,1,0,0,52.0,0,1,0
22.0,13.0,0,2,0,1,0,0,65.0,1,0,1
19.0,9.0,1,4,0,1,0,0,29.0,1,1,1
32.0,9.0,1,0,0,0,0,0,53.0,1,1,1
32.0,10.0,0,1,0,0,0,0,45.0,1,0,1
35.0,11.0,1,3,0,0,0,0,37.0,1,1,1
36.0,12.0,0,1,0,0,0,0,53.0,1,1,1
51.0,13.0,0,2,0,1,0,0,62.0,1,1,0
56.0,10.0,1,2,3,1,0,0,52.0,1,1,1
57.0,9.0,1,2,0,1,0,0,43.0,1,1,2
19.0,7.0,1,4,0,1,0,0,18.0,1,1,1
53.0,9.0,0,0,0,0,0,0,35.0,1,1,1
18.0,10.0,0,5,3,1,1,1,40.0,1,0,1
26.0,13.0,1,4,0,0,0,0,36.0,1,1,1
33.0,11.0,0,2,0,1,0,1,37.0,1,0,1
38.0,14.0,1,2,0,1,0,0,37.0,1,1,1
18.0,9.0,1,4,0,0,0,0,39.0,1,1,1
23.0,12.0,1,3,0,0,0,0,36.0,1,1,1
32.0,14.0,1,0,0,0,0,0,35.0,1,1,0
18.0,4.0,0,4,0,1,0,0,39.0,1,1,1
31.0,9.0,1,3,0,0,0,0,25.0,1,1,0
49.0,10.0,0,3,0,1,0,0,40.0,1,0,1
60.0,14.0,0,1,0,0,1,0,38.0,1,0,1
28.0,9.0,1,2,0,1,0,0,54.0,1,0,1
39.0,13.0,1,0,0,0,0,0,39.0,1,1,1
29.0,13.0,1,1,0,0,0,0,38.0,1,1,1
34.0,6.0,0,0,0,0,0,0,51.0,1,1,1
42.0,11.0,0,3,0,0,0,0,37.0,0,1,1
34.0,13.0,1,2,2,1,0,0,73.0,1,0,1
27.0,9.0,1,4,0,1,0,0,22.0,1,1,1
49.0,11.0,0,1,0,0,0,0,37.0,1,0,1
25.0,13.0,0,3,0,1,0,0,38.0,1,1,1
43.0,5.0,1,0,0,0,0,0,29.0,1,1,1
20.0,8.0,1,0,0,0,0,0,33.0,1,1,1
43.0,13.0,0,2,3,1,0,0,57.0,1,0,1
25.0,10.0,1,5,0,1,0,0,54.0,1,1,1
50.0,9.0,1,0,0,0,0,0,39.0,1,1,2
35.0,9.0,0,2,0,1,0,0,31.0,1,1,1
38.0,11.0,0,1,0,0,0,0,37.0,1,1,2
22.0,13.0,0,3,0,1,0,0,32.0,1,0,1
39.0,16.0,0,2,0,1,1,0,37.0,1,0,1
21.0,11.0,1,4,0,1,0,0,36.0,1,1,1
34.0,9.0,1,3,0,1,0,0,40.0,1,1,0
21.0,9.0,1,4,4,1,0,0,26.0,0,1,1
59.0,8.0,1,2,0,1,0,0,43.0,1,1,1
42.0,12.0,1,0,0,0,1,0,16.0,1,1,1
41.0,9.0,0,4,0,0,0,0,40.0,1,1,0
67.0,10.0,0,3,0,1,0,0,20.0,1,0,1
27.0,9.0,1,3,0,0,0,1,32.0,1,1,1
31.0,9.0,1,1,0,0,0,1,39.0,1,1,1
38.0,5.0,0,2,0,1,0,0,51.0,1,1,0
24.0,9.0,1,5,0,1,0,0,37.0,1,1,1
23.0,11.0,1,4,3,0,0,0,14.0,1,1,1
31.0,16.0,0,1,0,0,0,0,39.0,1,0,1
32.0,11.0,0,2,0,1,0,0,36.0,1,1,1
48.0,7.0,1,0,3,0,0,0,36.0,1,1,1
34.0,9.0,0,0,0,1,0,0,29.0,1,0,0
31.0,11.0,1,0,0,0,0,0,39.0,1,1,0
48.0,15.0,0,3,0,1,1,0,53.0,1,0,1
42.0,9.0,0,2,0,1,0,1,36.0,1,0,1
44.0,10.0,1,3,0,1,0,0,50.0,1,1,1
30.0,15.0,0,2,0,1,0,0,37.0,1,1,1
20.0,11.0,1,4,0,0,0,0,36.0,1,1,1
49.0,9.0,0,5,0,0,0,0,12.0,1,1,1
23.0,14.0,1,4,0,0,1,0,52.0,0,1,1
17.0,11.0,0,4,3,1,0,0,28.0,1,1,1
18.0,10.0,0,4,0,1,1,0,22.0,1,1,1
66.0,9.0,0,3,0,0,0,0,18.0,1,0,2
33.0,13.0,0,3,0,0,0,0,36.0,1,0,1
39.0,9.0,0,2,0,1,0,1,37.0,1,0,1
46.0,10.0,0,2,0,1,0,0,70.0,1,0,0
35.0,10.0,1,3,0,0,0,0,39.0,1,1,0
29.0,10.0,1,3,3,1,0,0,30.0,1,1,0
33.0,11.0,1,3,3,1,0,0,36.0,1,1,1
46.0,14.0,1,3,0,0,0,0,37.0,1,1,1
43.0,11.0,0,2,0,1,0,0,38.0,0,0,1
23.0,9.0,1,4,3,0,0,0,35.0,1,1,1
50.0,9.0,0,3,0,0,0,0,54.0,1,1,1
47.0,7.0,0,2,0,1,0,0,32.0,1,1,0
27.0,9.0,1,4,0,1,0,0,44.0,1,1,0
46.0,10.0,0,2,0,1,0,0,42.0,1,1,0
24.0,10.0,1,3,3,0,0,0,39.0,1,1,1
29.0,9.0,1,4,0,0,0,0,22.0,1,1,1
33.0,9.0,1,2,0,1,1,0,39.0,1,1,1
49.0,14.0,0,0,2,0,1,0,54.0,1,0,1
31.0,14.0,1,3,0,1,0,0,39.0,1,1,1
27.0,9.0,0,3,0,1,0,0,25.0,1,1,1
36.0,9.0,1,0,0,0,0,0,39.0,1,1,0
35.0,11.0,0,4,0,0,0,0,33.0,1,1,1
48.0,9.0,1,3,0,0,1,1,49.0,1,1,1
41.0,13.0,0,0,0,0,0,0,55.0,1,1,1
26.0,14.0,0,4,0,1,0,0,36.0,1,1,1
39.0,14.0,0,3,0,1,0,0,36.0,1,1,2
26.0,9.0,1,5,0,0,0,0,23.0,1,1,1
43.0,14.0,0,2,0,1,0,0,37.0,1,0,2
17.0,9.0,0,4,0,1,0,0,34.0,1,1,1
19.0,9.0,1,4,0,0,0,0,19.0,1,1,1
27.0,9.0,0,2,0,1,0,1,46.0,1,0,1
50.0,13.0,1,2,0,1,0,0,40.0,1,1,0
23.0,6.0,0,4,4,0,0,0,51.0,1,1,1
22.0,9.0,0,0,0,0,0,0,28.0,1,1,1
22.0,9.0,1,4,0,1,0,0,64.0,1,1,1
42.0,9.0,1,0,0,0,0,0,36.0,1,1,2
33.0,13.0,0,3,0,0,0,0,37.0,1,1,1
57.0,9.0,1,2,3,1,0,0,11.0,1,1,1
56.0,10.0,0,3,0,0,1,0,36.0,1,0,1
22.0,7.0,1,3,0,1,0,0,31.0,1,1,1
34.0,10.0,1,2,0,1,0,0,53.0,1,0,1
33.0,9.0,1,2,0,1,0,0,53.0,1,0,1
25.0,9.0,1,3,0,1,0,0,39.0,1,1,1
38.0,10.0,0,2,0,1,1,0,48.0,1,0,1
45.0,14.0,0,2,0,1,1,1,51.0,1,0,1
31.0,11.0,0,2,2,1,0,0,36.0,0,1,1
28.0,13.0,1,4,0,1,0,0,52.0,1,1,1
64.0,11.0,1,2,0,1,1,0,39.0,1,1,0
56.0,13.0,0,3,0,1,0,0,20.0,1,0,1
64.0,13.0,1,2,0,1,0,0,41.0,1,1,1
57.0,10.0,0,0,0,0,1,0,37.0,1,1,1
27.0,13.0,1,2,2,1,0,1,37.0,1,1,1
53.0,8.0,1,4,3,0,0,0,45.0,1,1,1
63.0,3.0,1,3,0,1,0,0,36.0,1,1,2
24.0,9.0,0,4,0,1,0,0,31.0,1,1,1
32.0,9.0,1,2,0,1,0,0,40.0,1,1,2
53.0,11.0,0,2,0,1,0,0,38.0,1,0,2
37.0,9.0,0,3,0,0,0,0,21.0,1,1,1
42.0,10.0,1,3,0,0,0,0,39.0,1,1,0
